symbol,direction,entry_time,exit_time,entry,sl,risk_per_unit,r_multiple,pnl_pct,outcome
ETH/USD,SHORT,2026-01-27 11:00:00+00:00,2026-01-27 16:00:00+00:00,2915.70,2973.79,58.0873,-1.1002,-0.011002,loss
ETH/USD,SHORT,2026-02-03 07:00:00+00:00,2026-02-03 17:00:00+00:00,2328.49,2406.13,77.6361,1.6420,0.016420,win
ETH/USD,SHORT,2026-02-04 06:00:00+00:00,2026-02-04 16:00:00+00:00,2248.62,2355.29,106.6692,0.9994,0.009994,win
BTC/USD,SHORT,2026-02-07 12:00:00+00:00,2026-02-07 22:00:00+00:00,69084.55,72054.20,2969.6549,-0.1739,-0.001739,loss
ETH/USD,SHORT,2026-02-07 12:00:00+00:00,2026-02-07 22:00:00+00:00,2055.70,2353.40,297.6956,-0.1587,-0.001587,loss
BTC/USD,SHORT,2026-02-09 16:00:00+00:00,2026-02-10 02:00:00+00:00,70116.00,72481.58,2365.5794,-0.0700,-0.000700,loss
ETH/USD,SHORT,2026-02-13 02:00:00+00:00,2026-02-13 12:00:00+00:00,1950.16,2007.02,56.8592,-0.2709,-0.002709,loss
BTC/USD,SHORT,2026-02-17 01:00:00+00:00,2026-02-17 11:00:00+00:00,68718.30,70260.38,1542.0772,0.4666,0.004666,win
BTC/USD,SHORT,2026-02-19 17:00:00+00:00,2026-02-20 00:00:00+00:00,66680.70,67454.45,773.7457,-1.1434,-0.011434,loss
ETH/USD,SHORT,2026-02-20 14:00:00+00:00,2026-02-21 00:00:00+00:00,1951.65,1991.83,40.1750,-0.3863,-0.003863,loss
ETH/USD,SHORT,2026-02-21 05:00:00+00:00,2026-02-21 11:00:00+00:00,1963.29,1984.53,21.2420,-1.1509,-0.011509,loss
ETH/USD,SHORT,2026-02-25 09:00:00+00:00,2026-02-25 12:00:00+00:00,1914.35,1940.55,26.1958,-1.1277,-0.011277,loss
BTC/USD,SHORT,2026-02-25 09:00:00+00:00,2026-02-25 17:00:00+00:00,65650.00,68387.88,2737.8809,-1.0688,-0.010688,loss
BTC/USD,SHORT,2026-03-01 18:00:00+00:00,2026-03-02 04:00:00+00:00,66219.77,68372.21,2152.4394,-0.3753,-0.003753,loss
ETH/USD,SHORT,2026-03-01 18:00:00+00:00,2026-03-02 04:00:00+00:00,1975.92,2062.00,86.0756,-0.0329,-0.000329,loss
BTC/USD,SHORT,2026-03-20 21:00:00+00:00,2026-03-21 07:00:00+00:00,70670.43,71508.57,838.1392,-0.2091,-0.002091,loss
BTC/USD,SHORT,2026-03-21 18:00:00+00:00,2026-03-22 02:00:00+00:00,70426.18,71445.52,1019.3362,1.5795,0.015795,win
BTC/USD,SHORT,2026-03-29 01:00:00+00:00,2026-03-29 11:00:00+00:00,66500.00,67364.29,864.2908,-0.4983,-0.004983,loss
ETH/USD,SHORT,2026-03-29 03:00:00+00:00,2026-03-29 13:00:00+00:00,2013.14,2050.51,37.3674,0.5925,0.005925,win
BTC/USD,SHORT,2026-04-05 08:00:00+00:00,2026-04-05 15:00:00+00:00,66940.00,67609.26,669.2559,-1.1600,-0.011600,loss
ETH/USD,SHORT,2026-04-13 06:00:00+00:00,2026-04-13 14:00:00+00:00,2199.36,2221.62,22.2570,-1.1586,-0.011586,loss
BTC/USD,LONG,2026-04-19 15:00:00+00:00,2026-04-20 01:00:00+00:00,75432.07,73212.32,2219.7532,-0.4578,-0.004578,loss
BTC/USD,LONG,2026-04-20 05:00:00+00:00,2026-04-20 15:00:00+00:00,74214.67,73206.18,1008.4856,1.3612,0.013612,win
BTC/USD,LONG,2026-04-21 00:00:00+00:00,2026-04-21 10:00:00+00:00,75898.14,73602.47,2295.6711,0.2898,0.002898,win
ETH/USD,LONG,2026-04-23 13:00:00+00:00,2026-04-23 23:00:00+00:00,2320.81,2279.81,40.9984,0.1226,0.001226,win
BTC/USD,LONG,2026-04-25 11:00:00+00:00,2026-04-25 16:00:00+00:00,77714.55,77201.97,512.5754,-1.2219,-0.012219,loss
ETH/USD,LONG,2026-05-03 09:00:00+00:00,2026-05-03 19:00:00+00:00,2307.65,2276.84,30.8138,0.7769,0.007769,win
ETH/USD,LONG,2026-05-06 13:00:00+00:00,2026-05-06 14:00:00+00:00,2368.57,2349.96,18.6105,-1.1927,-0.011927,loss
BTC/USD,LONG,2026-05-07 08:00:00+00:00,2026-05-07 10:00:00+00:00,81390.30,80632.54,757.7571,-1.1689,-0.011689,loss
BTC/USD,LONG,2026-05-11 11:00:00+00:00,2026-05-11 21:00:00+00:00,80940.00,80188.17,751.8306,1.0029,0.010029,win
ETH/USD,SHORT,2026-05-18 23:00:00+00:00,2026-05-19 09:00:00+00:00,2130.90,2162.02,31.1213,0.4051,0.004051,win
ETH/USD,SHORT,2026-05-19 13:00:00+00:00,2026-05-19 23:00:00+00:00,2121.96,2150.88,28.9247,0.2187,0.002187,win
ETH/USD,SHORT,2026-05-21 08:00:00+00:00,2026-05-21 15:00:00+00:00,2138.61,2150.01,11.3968,1.0719,0.010719,win
ETH/USD,SHORT,2026-05-22 07:00:00+00:00,2026-05-22 17:00:00+00:00,2130.86,2156.49,25.6302,0.2996,0.002996,win
ETH/USD,SHORT,2026-05-24 16:00:00+00:00,2026-05-25 02:00:00+00:00,2100.00,2153.22,53.2246,-0.0563,-0.000563,loss
ETH/USD,SHORT,2026-05-25 22:00:00+00:00,2026-05-26 08:00:00+00:00,2113.04,2152.81,39.7729,0.2933,0.002933,win
BTC/USD,LONG,2026-05-26 13:00:00+00:00,2026-05-26 15:00:00+00:00,77174.94,76383.30,791.6421,-1.1570,-0.011570,loss
ETH/USD,SHORT,2026-05-29 07:00:00+00:00,2026-05-29 15:00:00+00:00,2011.96,2033.30,21.3395,-1.1531,-0.011531,loss
BTC/USD,LONG,2026-05-30 17:00:00+00:00,2026-05-31 03:00:00+00:00,73820.91,73155.66,665.2477,0.3225,0.003225,win
ETH/USD,SHORT,2026-06-02 07:00:00+00:00,2026-06-02 15:00:00+00:00,1988.88,2013.05,24.1730,1.8530,0.018530,win
BTC/USD,SHORT,2026-06-07 14:00:00+00:00,2026-06-08 00:00:00+00:00,61907.64,64628.81,2721.1708,-0.7008,-0.007008,loss
BTC/USD,SHORT,2026-06-22 00:00:00+00:00,2026-06-22 01:00:00+00:00,63969.59,64668.37,698.7793,-1.1499,-0.011499,loss
ETH/USD,SHORT,2026-06-25 12:00:00+00:00,2026-06-25 14:00:00+00:00,1649.83,1697.68,47.8530,1.6764,0.016764,win
BTC/USD,SHORT,2026-06-25 12:00:00+00:00,2026-06-25 22:00:00+00:00,61422.52,63352.03,1929.5138,0.7361,0.007361,win
BTC/USD,SHORT,2026-06-26 17:00:00+00:00,2026-06-27 03:00:00+00:00,59858.93,60940.86,1081.9263,-0.5194,-0.005194,loss
ETH/USD,SHORT,2026-06-27 19:00:00+00:00,2026-06-28 05:00:00+00:00,1594.70,1663.45,68.7506,0.3035,0.003035,win
ETH/USD,SHORT,2026-07-09 17:00:00+00:00,2026-07-10 01:00:00+00:00,1748.49,1765.52,17.0277,-1.1632,-0.011632,loss
ETH/USD,LONG,2026-07-17 11:00:00+00:00,2026-07-17 21:00:00+00:00,1834.30,1747.00,87.2964,0.0177,0.000177,win
